,inet6num,name,inetnum,primary-key
680,,Bundesanstalt fuer Arbeit Arbeitsamt Gruenstadt||,217.237.163.88 - 217.237.163.95,2319367
683,,Bundesanstalt fuer Arbeit Arbeitsamt Frankenthal||,217.237.163.80 - 217.237.163.87,2319366
684,,Bundesanstalt fuer Arbeit Arbeitsamt Speyer||,62.159.102.32 - 62.159.102.39,2319368
686,,Bundesanstalt fuer Arbeit Arbeitsamt Seligenstadt||,217.243.190.192 - 217.243.190.199,2309888
692,,Bundesamt fuer Wirtschaft und Ausfuhrkontrolle||,83.236.157.240 - 83.236.157.247,3159826
693,,Bundesamt fuer den Zivildienst|Sibille-Hartmann-Str. 2-8|D-50969 Koeln||BUNDESAMT-1|,194.8.203.112 - 194.8.203.127,3064533
694,,"IT-Amt Bundeswehr, C2|August-Bebel-Str. 19, D-01219 Dresden||",212.80.237.104 - 212.80.237.111,3070386
699,,Bundesanstalt fuer Arbeit Arbeitsamt Emsdetten||,217.6.112.128 - 217.6.112.135,2134617
702,,Bundesanstalt fuer Arbeit Arbeitsamt Kulmbach||,217.6.3.240 - 217.6.3.247,2154648
715,,Bundesamt fuer Bauwesen und Raumordnung|Am Michaelshof 8|D-53177 Bonn|DE||,195.126.31.0 - 195.126.31.255,521150
725,,Bundeswehrverwaltungsschule||BUNDESWEHRVERWALTUNGSSCHULE-OBERAMMERGAU-NET|,217.7.172.176 - 217.7.172.183,6188631
727,,Bundeszentrale für politische Bildung Bonn||,62.72.78.208 - 62.72.78.223,6241353
728,,Bundesanstalt fuer Arbeit Arbeitsamt Bremen||,217.6.68.136 - 217.6.68.143,2023916
729,,Bundesanstalt fuer Arbeit Arbeitsamt Bad Bergzabern||,217.6.123.160 - 217.6.123.167,2048511
734,,Bundesanstalt fuer Arbeit Arbeitsamt Koenigswinter||,212.185.206.176 - 212.185.206.183,2017712
737,,Bundesanstalt fuer Arbeit Arbeitsamt Forst||,212.184.247.192 - 212.184.247.199,2019357
738,,TSI fuer Bundesagentur fuer Arbeit||,80.157.191.0 - 80.157.191.7,14673347
741,,Bundesanstalt fuer Arbeit Arbeitsamt Dillingen||,212.185.170.72 - 212.185.170.79,2187016
745,,Bundesanstalt fuer Arbeit Arbeitsamt Parchim||,212.185.170.56 - 212.185.170.63,2187014
758,,Bundesanstalt fuer Arbeit Arbeitsamt Anklam||,212.184.74.16 - 212.184.74.23,2190515
759,,Bundesanstalt fuer Arbeit Arbeitsamt Buchholz||,212.185.15.64 - 212.185.15.71,2190347
763,,Bundesanstalt fuer Arbeit Arbeitsamt Barsinghausen||,212.185.49.80 - 212.185.49.87,2196688
764,,Bundesanstalt fuer Arbeit Arbeitsamt Bernkastel-Kues||,212.184.13.176 - 212.184.13.183,2197884
766,,Bundesanstalt fuer Arbeit Arbeitsamt Pruem||,212.184.13.224 - 212.184.13.231,2197896
767,,Bundesanstalt fuer Arbeit Arbeitsamt Rodgau||,217.243.190.200 - 217.243.190.207,2309889
777,,Bundesanstalt fuer Arbeit Arbeitsamt Ulm||,62.154.139.8 - 62.154.139.15,1844698
778,,Bundesanstalt fuer Arbeit Arbeitsamt Ludwigslust||,212.185.170.112 - 212.185.170.119,2187023
780,,Bundesanstalt fuer Arbeit Arbeitsamt Donauwoerth||,212.185.170.80 - 212.185.170.87,2187019
783,,Bundesanstalt fuer Arbeit Arbeitsamt Wittlich||,212.184.13.232 - 212.184.13.239,2197897
